Hellas Verona,Roma,1,1
Lazio,Bologna,2,1
Juventus,Udinese,0,1
Sampdoria,Carpi,5,2
Empoli,Chievo,1,3
Frosinone,Torino,1,2
Fiorentina,Milan,2,0
Sassuolo,Napoli,2,1
Internazionale,Atalanta,1,0
Palermo,Genoa,1,0
Bologna,Sassuolo,0,1
Milan,Empoli,2,1
Roma,Juventus,2,1
Udinese,Palermo,0,1
Napoli,Sampdoria,2,2
Genoa,Hellas Verona,2,0
Atalanta,Frosinone,2,0
Carpi,Internazionale,1,2
Chievo,Lazio,4,0
Torino,Fiorentina,3,1
Frosinone,Roma,0,2
Fiorentina,Genoa,1,0
Juventus,Chievo,1,1
Hellas Verona,Torino,2,2
Palermo,Carpi,2,2
Empoli,Napoli,2,2
Sassuolo,Atalanta,2,2
Lazio,Udinese,2,0
Internazionale,Milan,1,0
Sampdoria,Bologna,2,0
Udinese,Empoli,1,2
Milan,Palermo,3,2
Chievo,Internazionale,0,1
Torino,Sampdoria,2,0
Roma,Sassuolo,2,2
Genoa,Juventus,0,2
Bologna,Frosinone,1,0
Atalanta,Hellas Verona,1,1
Carpi,Fiorentina,0,1
Napoli,Lazio,5,0
Udinese,Milan,2,3
Carpi,Napoli,0,0
Chievo,Torino,1,0
Palermo,Sassuolo,0,1
Fiorentina,Bologna,2,0
Juventus,Frosinone,1,1
Internazionale,Hellas Verona,1,0
Lazio,Genoa,2,0
Sampdoria,Roma,2,1
Empoli,Atalanta,0,1
Roma,Carpi,5,1
Napoli,Juventus,2,1
Genoa,Milan,1,0
Hellas Verona,Lazio,1,2
Bologna,Udinese,1,2
Torino,Palermo,2,1
Sassuolo,Chievo,1,1
Internazionale,Fiorentina,1,4
Frosinone,Empoli,2,0
Atalanta,Sampdoria,2,1
Carpi,Torino,2,1
Chievo,Hellas Verona,1,1
